"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"3300055390_609__dereplicated_genomes","d__Bacteria;p__JAGLYR01;c__JAGLYR01;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","89.69","0.50933","-"
"3300055390_64__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__","-","-","-","-","-","-","-","-","-","ANI","classification based on placement in class-level tree","GCA_022865305.1, s__LD21 sp022865305, ...","73.27","0.92799","-"
"3300055390_687__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002403995.1, s__Gallionella sp0024...","74.1","0.97603","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_731__dereplicated_genomes","d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__2-02-FULL-66-22;g__2-02-FULL-66-22;s__","-","-","-","-","-","GCA_016209735.1","d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__2-02-FULL-66-22;g__2-02-FULL-66-22;s__2-02-FULL-66-22 sp016209735","77.57","0.232","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016208645.1, s__2-02-FULL-66-22 sp...","89.47","0.88112","-"
"3300055390_733__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_022865725.1, s__Methyloceanibacter...","75.07","0.91958","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_737__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UBA2250;s__","-","-","-","-","-","GCA_011391215.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UBA2250;s__UBA2250 sp011391215","89.01","0.654","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_903950295.1, s__UBA2250 sp90395029...","77.54","0.98362","Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 10.8% of markers with multiple hits"
"3300055390_762__dereplicated_genomes","d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA11373;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","71.56","0.8885","-"
"3300055390_764__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAFNAG01;s__","-","-","-","-","-","GCA_020072565.1","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAFNAG01;s__JAFNAG01 sp020072565","78.97","0.241","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","91.74","0.91607","-"
"3300055390_793__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Sideroxyarcus;s__","-","-","-","-","-","GCA_018820925.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Sideroxyarcus;s__Sideroxyarcus sp018820925","85.44","0.68","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016235045.1, s__Sideroxyarcus sp01...","75.75","0.9802","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_796__dereplicated_genomes","d__Bacteria;p__JAGLYR01;c__JAGLYR01;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","87.25","0.5087","-"
"3300055390_798__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__UBA6901;g__UBA6901;s__","-","-","-","-","-","GCA_002451085.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__UBA6901;g__UBA6901;s__UBA6901 sp002451085","78.35","0.318","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","82.3","0.87809","-"
"3300055390_83__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__","-","-","-","-","-","GCA_021802595.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__Thiobacillus sp021802595","86.47","0.576","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_021802945.1, s__Thiobacillus sp021...","64.83","0.97452","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_858__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA7239;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","96.09","0.81558","-"
"3300055390_860__dereplicated_genomes","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__CAIMUX01;f__WJJG01;g__JAGMBO01;s__","-","-","-","-","-","GCA_023129715.1","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__CAIMUX01;f__WJJG01;g__JAGMBO01;s__JAGMBO01 sp023129715","77.26","0.204","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","91.44","0.8732","-"
"3300055390_867__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2185;g__UBA2185;s__","-","-","-","-","-","GCA_017885225.1","d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2185;g__UBA2185;s__UBA2185 sp017885225","89.74","0.673","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_003508565.1, s__UBA2185 sp00350856...","83.71","0.96919","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_870__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__UBA6906;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","86","0.84668","-"
"3300055390_879__dereplicated_genomes","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__JAKLFE01;s__","-","-","-","-","-","GCA_022711355.1","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__JAKLFE01;s__JAKLFE01 sp022711355","80.94","0.581","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","69.91","0.93105","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_880__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__","-","-","-","-","-","GCA_016124745.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__Thiobacillus sp016124745","85.59","0.744","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_021802945.1, s__Thiobacillus sp021...","64.63","0.97118","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_887__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__Fen-1077;s__","-","-","-","-","-","GCA_003141235.1","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__Fen-1077;s__Fen-1077 sp003141235","79.32","0.394","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","69.77","0.95522","-"
"3300055390_895__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","88.8","0.92306","-"
"3300055390_900__dereplicated_genomes","d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA4427;g__JADJOR01;s__","-","-","-","-","-","GCA_016713665.1","d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA4427;g__JADJOR01;s__JADJOR01 sp016713665","84.04","0.825","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","79.94","0.95429","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_903__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","72.21","0.83635","-"
"3300055390_908__dereplicated_genomes","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA7542;s__","-","-","-","-","-","-","-","-","-","ANI","classification based on placement in class-level tree","GCA_003161635.1, s__UBA7542 sp00316163...","65.52","0.92502","-"
"3300055390_912__dereplicated_genomes","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","72.06","0.86384","-"
"3300055390_915__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA5072;s__","-","-","-","-","-","GCA_017860375.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA5072;s__UBA5072 sp017860375","78.11","0.358","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016934055.1, s__UBA5072 sp01693405...","94.46","0.95634","-"
"3300055390_919__dereplicated_genomes","d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA11373;g__VGBK01;s__","-","-","-","-","-","GCA_016932695.1","d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA11373;g__VGBK01;s__VGBK01 sp016932695","82.08","0.603","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016870535.1, s__VGBK01 sp016870535...","87.55","0.94337","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_922__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__","-","-","-","-","-","GCA_021802585.1","d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__CTSoil-043 sp021802585","81.47","0.586","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_017881985.1, s__CTSoil-043 sp01788...","84.93","0.9312","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_924__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__","-","-","-","-","-","-","-","-","-","ANI","classification based on placement in class-level tree","GCA_022865305.1, s__LD21 sp022865305, ...","72.49","0.94167","-"
"3300055390_925__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","81.53","0.80368","-"
"3300055390_931__dereplicated_genomes","d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__","-","-","-","-","-","GCA_017885175.1","d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__SSS58A sp017885175","77.68","0.276","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002403295.1, s__SSS58A sp002403295...","83.91","0.89205","-"
"3300055390_942__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__LJUQ01;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","76.64","0.90722","-"
"3300055390_943__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__","-","-","-","-","-","GCA_011048485.1","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__RBG-16-66-30 sp011048485","81.36","0.541","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_017883305.1, s__RBG-16-66-30 sp017...","87.43","0.96035","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_954__dereplicated_genomes","d__Bacteria;p__Spirochaetota;c__B62-G9;o__B62-G9;f__B62-G9;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","65.6","0.81722","-"
"3300060478_1009__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__RBG-13-51-18;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","82.62","0.92152","-"
"3300060478_1010__dereplicated_genomes","d__Bacteria;p__Edwardsbacteria;c__AC1;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","83.85","0.4053","backbone tree has incongruent class classification"
"3300060478_1017__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__Fen-1342;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","84.89","0.85807","-"
"3300060478_1018__dereplicated_genomes","d__Bacteria;p__AABM5-125-24;c__RPQS01;o__RPQS01;f__RPQS01;g__RPQS01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","91.1","0.85621","-"
"3300060478_1019__dereplicated_genomes","d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__WVZY01;f__WVZY01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","86.61","0.84695","-"
"3300060478_1020__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__","-","-","-","-","-","GCA_016932095.1","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__Fen-1362 sp016932095","77.66","0.213","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_003141275.1, s__Fen-1362 sp0031412...","83.5","0.93707","-"
"3300060478_1027__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Z2-YC6860;s__","-","-","-","-","-","GCA_016869215.1","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Z2-YC6860;s__Z2-YC6860 sp016869215","81.75","0.64","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_945861855.1, s__Z2-YC6860 sp945861...","87.98","0.96025","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_1028__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__","-","-","-","-","-","GCA_903884455.1","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__RBG-13-51-36 sp903884455","90.55","0.772","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_022866545.1, s__RBG-13-51-36 sp022...","63.93","0.96145","Genome has more than 11.7% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_1029__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__FEB-25;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","78.69","0.95378","-"
"3300060478_1034__dereplicated_genomes","d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__RBG-16-49-21;s__","-","-","-","-","-","GCA_001829495.1","d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__RBG-16-49-21;s__RBG-16-49-21 sp001829495","77.76","0.204","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","83.22","0.89074","-"
"3300060478_1036__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__RBG-13-51-18;s__","-","-","-","-","-","GCA_903915565.1","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__RBG-13-51-18;s__RBG-13-51-18 sp903915565","78.36","0.464","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_001796495.1, s__RBG-13-51-18 sp001...","71.26","0.95495","-"
"3300060478_1038__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__","-","-","-","-","-","GCA_018268835.1","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp018268835","78.51","0.378","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_017883345.1, s__Solibacter sp01788...","85.56","0.95962","-"
"3300060478_1042__dereplicated_genomes","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__JAFGIB01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","85.3","0.87174","-"
"3300060478_1044__dereplicated_genomes","d__Bacteria;p__Actinomycetota;c__Geothermincolia;o__Geothermincolales;f__RBG-13-55-18;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","82.6","0.89229","-"
"3300060478_1055__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__FEB-25;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","78.13","0.95482","-"
"3300060478_1064__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__UBA2199;s__","-","-","-","-","-","GCA_016934745.1","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__UBA2199;s__UBA2199 sp016934745","79.89","0.505","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_018262835.1, s__UBA2199 sp01826283...","85.76","0.92348","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_1076__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1359;s__","-","-","-","-","-","GCA_003141315.1","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1359;s__Fen-1359 sp003141315","80.53","0.643","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","82.38","0.95041","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_1078__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","71.78","0.74777","-"
"3300060478_1082__dereplicated_genomes","d__Bacteria;p__Desulfobacterota_F;c__SM23-61;o__SM23-61;f__SM23-61;g__JACRCA01;s__","-","-","-","-","-","GCA_016234425.1","d__Bacteria;p__Desulfobacterota_F;c__SM23-61;o__SM23-61;f__SM23-61;g__JACRCA01;s__JACRCA01 sp016234425","77.19","0.265","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","86.28","0.86827","-"
"3300060478_1087__dereplicated_genomes","d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__MSB-5A5;f__SM1-73;g__SM1-73;s__","-","-","-","-","-","GCA_022866585.1","d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__MSB-5A5;f__SM1-73;g__SM1-73;s__SM1-73 sp022866585","90.73","0.767","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_001304225.1, s__SM1-73 sp001304225...","66.36","0.96447","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_1093__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","68.16","0.88779","-"
"3300060478_1095__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__","-","-","-","-","-","GCA_003152455.1","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__Pseudolabrys sp003152455","84.97","0.724","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_003133345.1, s__Pseudolabrys sp003...","73.8","0.98399","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_1104__dereplicated_genomes","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__MIBK01;s__","-","-","-","-","-","GCA_001829505.1","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__MIBK01;s__MIBK01 sp001829505","80.33","0.36","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","73.23","0.90612","-"
"3300060478_1121__dereplicated_genomes","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__MIBK01;s__","-","-","-","-","-","GCA_001829505.1","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__MIBK01;s__MIBK01 sp001829505","80.13","0.372","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","62.26","0.91115","-"
"3300060478_1124__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA8522;g__UBA8522;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_017886205.1, s__UBA8522 sp01788620...","78.71","0.93588","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_1126__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","82.16","0.80832","-"
"3300060478_1146__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum","GCF_001881495.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum","98.44","0.93","GCF_001881495.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum","98.44","0.93","ani_screen","classification based on ANI only","GCA_005877695.1, s__Aquirickettsiella ...","91.76","-","-"
"3300060478_1150__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__UBA9647;s__","-","-","-","-","-","-","-","-","-","ANI","classification based on placement in class-level tree","GCA_007280275.1, s__UBA9647 sp00728027...","80.73","0.93886","-"
"3300060478_1153__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA8522;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","74.66","0.81402","-"
"3300060478_1154__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA2162;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","60.12","0.82734","-"
"3300060478_1156__dereplicated_genomes","d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__DTFT01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","65.56","0.802","-"
"3300060478_1164__dereplicated_genomes","d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__JAAERC01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","72.21","0.868","-"
"3300060478_1171__dereplicated_genomes","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Fen-1467;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_903940425.1, s__Fen-1467 sp9039404...","76.29","0.93348","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_1225__dereplicated_genomes","d__Bacteria;p__Desulfobacterota_G;c__Syntrophorhabdia;o__Syntrophorhabdales;f__WCHB1-27;g__BOG-1155;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","64.35","0.90378","Genome has more than 10.0% of markers with multiple hits"
"3300060478_122__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAFNAG01;s__","-","-","-","-","-","GCA_017860135.1","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAFNAG01;s__JAFNAG01 sp017860135","77.64","0.143","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_020072565.1, s__JAFNAG01 sp0200725...","69.29","0.88773","-"
"3300060478_1240__dereplicated_genomes","d__Bacteria;p__Calditrichota;c__Calditrichia;o__JAJRVZ01;f__JAJRVZ01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","65.96","0.76467","-"
"3300060478_131__dereplicated_genomes","d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__Profunditerraquicolaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","68.88","0.83661","-"
